Obstacle Data Summary
World Name      : marsyard.world
Heightmap       : /home/saif/Desktop/ROAR/simulation_ws/src/navMission_setup/rock_generator/heightmap_tools/marsyard_heightmap.npz
Total Placed    : 319
Density         : 0.5 rocks/m²
Collidable Ratio: 0.5
Spacing Min     : 1.0 m
Min Terrain Z   : 0.15 m
Deadends        : False
Timestamped File: obstacle_data_20260722_165851.npy

[  1] Rock_1       | Model #9 | Pos: ( 11.254,   9.143,  1.260) | Collidable: False
[112] Rock_112     | Model #8 | Pos: (  5.298,   2.181,  1.139) | Collidable: False
[113] Rock_113     | Model #2 | Pos: (-12.513,  -8.433,  0.580) | Collidable: True
[114] Rock_114     | Model #7 | Pos: (  3.740,   0.281,  1.565) | Collidable: False
[115] Rock_115     | Model #8 | Pos: ( -3.494,   3.908,  1.201) | Collidable: False
[116] Rock_116     | Model #2 | Pos: (-11.804, -10.011,  0.904) | Collidable: False
[117] Rock_117     | Model #5 | Pos: (  9.170,  10.702,  1.534) | Collidable: False
[118] Rock_118     | Model #9 | Pos: ( -1.825,  -1.298,  1.143) | Collidable: False
[119] Rock_119     | Model #7 | Pos: (-10.578,   5.684,  1.181) | Collidable: True
[120] Rock_120     | Model #1 | Pos: (-15.828,   1.745,  1.181) | Collidable: True
[121] Rock_121     | Model #2 | Pos: (-11.226,   2.304,  0.695) | Collidable: True
[122] Rock_122     | Model #9 | Pos: (  4.558,  -4.552,  1.589) | Collidable: True
[123] Rock_123     | Model #2 | Pos: (  1.879,   2.693,  1.511) | Collidable: False
[124] Rock_124     | Model #2 | Pos: ( -5.513,   1.569,  1.343) | Collidable: False
[125] Rock_125     | Model #1 | Pos: (  5.495,  10.033,  0.920) | Collidable: True
[126] Rock_126     | Model #6 | Pos: (-10.232,  -1.880,  1.277) | Collidable: False
[127] Rock_127     | Model #4 | Pos: (  6.897,   2.224,  0.950) | Collidable: False
[128] Rock_128     | Model #6 | Pos: ( -3.935,  -8.075,  0.773) | Collidable: True
[129] Rock_129     | Model #5 | Pos: (  3.627,   7.394,  0.798) | Collidable: False
[130] Rock_130     | Model #2 | Pos: (  1.951,  -9.051,  1.308) | Collidable: True
[131] Rock_131     | Model #6 | Pos: ( 12.561,   1.025,  1.337) | Collidable: False
[132] Rock_132     | Model #7 | Pos: ( 12.977,   9.591,  1.337) | Collidable: False
[133] Rock_133     | Model #9 | Pos: ( -9.921,   4.740,  1.001) | Collidable: True
[134] Rock_134     | Model #3 | Pos: ( -8.908,   8.749,  1.143) | Collidable: False
[135] Rock_135     | Model #6 | Pos: (  5.636,   5.474,  2.075) | Collidable: False
[136] Rock_136     | Model #8 | Pos: (  6.184,   7.150,  1.539) | Collidable: False
[137] Rock_137     | Model #5 | Pos: ( 12.473,   3.539,  0.987) | Collidable: False
[138] Rock_138     | Model #7 | Pos: ( -7.419,   8.113,  1.215) | Collidable: True
[139] Rock_139     | Model #3 | Pos: (  3.666,  -5.288,  0.914) | Collidable: True
[140] Rock_140     | Model #3 | Pos: ( -1.697,  -6.463,  0.978) | Collidable: True
[141] Rock_141     | Model #6 | Pos: ( -2.155,  -3.721,  1.472) | Collidable: False
[142] Rock_142     | Model #1 | Pos: ( -9.131,  -3.223,  1.134) | Collidable: True
[143] Rock_143     | Model #4 | Pos: ( -5.956,  10.195,  1.037) | Collidable: True
[144] Rock_144     | Model #7 | Pos: (-14.577,   3.615,  0.867) | Collidable: False
[145] Rock_145     | Model #2 | Pos: ( 12.845,   6.304,  1.760) | Collidable: False
[146] Rock_146     | Model #4 | Pos: ( -0.137,  -8.866,  1.270) | Collidable: False
[147] Rock_147     | Model #1 | Pos: (-11.058,   9.451,  1.106) | Collidable: True
[148] Rock_148     | Model #3 | Pos: (  7.680,   5.117,  1.932) | Collidable: False
[149] Rock_149     | Model #8 | Pos: ( 10.305,   9.942,  1.287) | Collidable: True
[150] Rock_150     | Model #4 | Pos: (-13.559,   5.614,  1.157) | Collidable: True
[151] Rock_151     | Model #6 | Pos: (  9.541,   7.660,  1.343) | Collidable: True
[152] Rock_152     | Model #7 | Pos: ( -4.348, -10.164,  1.336) | Collidable: False
[153] Rock_153     | Model #4 | Pos: (-12.133,  -0.597,  1.045) | Collidable: False
[154] Rock_154     | Model #9 | Pos: (  5.471,   8.390,  0.841) | Collidable: True
[155] Rock_155     | Model #2 | Pos: (-13.609,   4.339,  0.798) | Collidable: True
[156] Rock_156     | Model #4 | Pos: (  1.796,  -4.050,  1.485) | Collidable: True
[157] Rock_157     | Model #2 | Pos: ( -6.413,  -9.774,  1.077) | Collidable: True
[158] Rock_158     | Model #4 | Pos: ( -7.088,   9.062,  1.166) | Collidable: False
[159] Rock_159     | Model #2 | Pos: (  4.153,  10.564,  1.342) | Collidable: False
[160] Rock_160     | Model #1 | Pos: (-16.423,   7.840,  1.134) | Collidable: False
[161] Rock_161     | Model #8 | Pos: (-13.180,  -9.227,  0.443) | Collidable: True
[162] Rock_162     | Model #8 | Pos: ( -2.221,  -5.140,  1.315) | Collidable: False
[163] Rock_163     | Model #1 | Pos: ( -5.258,   9.381,  1.088) | Collidable: False
[164] Rock_164     | Model #4 | Pos: ( -8.906,  10.269,  0.907) | Collidable: True
[165] Rock_165     | Model #5 | Pos: (  0.166,  -2.631,  1.514) | Collidable: False
[166] Rock_166     | Model #8 | Pos: ( -5.237,   2.970,  1.315) | Collidable: False
[167] Rock_167     | Model #4 | Pos: (-12.462,   4.909,  0.863) | Collidable: True
[168] Rock_168     | Model #4 | Pos: (  1.143,   5.687,  1.396) | Collidable: False
[169] Rock_169     | Model #7 | Pos: (-17.063, -10.022,  1.100) | Collidable: False
[170] Rock_170     | Model #6 | Pos: (  6.272,  -9.840,  1.893) | Collidable: False
[171] Rock_171     | Model #3 | Pos: (  4.242,  -7.936,  0.580) | Collidable: False
[172] Rock_172     | Model #4 | Pos: (  8.787,   6.785,  1.078) | Collidable: True
[173] Rock_173     | Model #7 | Pos: (  6.936,   1.182,  1.026) | Collidable: False
[174] Rock_174     | Model #3 | Pos: (  5.482,  -8.056,  0.916) | Collidable: False
[175] Rock_175     | Model #2 | Pos: (  2.214,   9.451,  1.459) | Collidable: True
[176] Rock_176     | Model #9 | Pos: (  8.177,  10.450,  1.315) | Collidable: False
[177] Rock_177     | Model #2 | Pos: (  2.558,  -8.064,  1.126) | Collidable: True
[178] Rock_178     | Model #6 | Pos: (-16.371,  -6.143,  1.145) | Collidable: True
[179] Rock_179     | Model #3 | Pos: (-11.514,  -8.583,  0.840) | Collidable: False
[180] Rock_180     | Model #4 | Pos: ( -3.327, -10.244,  1.583) | Collidable: False
[181] Rock_181     | Model #7 | Pos: (  4.614,   5.265,  1.665) | Collidable: True
[182] Rock_182     | Model #9 | Pos: ( -8.317,   0.902,  0.738) | Collidable: True
[183] Rock_183     | Model #2 | Pos: ( -2.578,   4.740,  1.322) | Collidable: True
[184] Rock_184     | Model #2 | Pos: (-13.775,  -4.674,  1.116) | Collidable: True
[185] Rock_185     | Model #9 | Pos: (  3.958,  -9.892,  1.686) | Collidable: False
[186] Rock_186     | Model #1 | Pos: ( -0.648,   1.990,  0.863) | Collidable: False
[187] Rock_187     | Model #9 | Pos: (-13.651,  -7.062,  0.990) | Collidable: True
[188] Rock_188     | Model #7 | Pos: (  1.119,   0.533,  1.107) | Collidable: True
[189] Rock_189     | Model #9 | Pos: (  8.089,   2.344,  0.921) | Collidable: True
[190] Rock_190     | Model #9 | Pos: (  6.909,  -6.536,  1.668) | Collidable: True
[191] Rock_191     | Model #1 | Pos: ( -1.839,  -2.402,  1.470) | Collidable: False
[192] Rock_192     | Model #9 | Pos: (-15.775,   3.109,  1.196) | Collidable: False
[193] Rock_193     | Model #9 | Pos: ( -5.943,  -4.643,  1.290) | Collidable: False
[194] Rock_194     | Model #7 | Pos: (-12.248,   2.650,  0.710) | Collidable: True
[195] Rock_195     | Model #3 | Pos: ( -2.713,   2.763,  0.813) | Collidable: False
[196] Rock_196     | Model #9 | Pos: ( -7.227,  -4.507,  1.251) | Collidable: False
[197] Rock_197     | Model #6 | Pos: ( -1.490,   8.532,  1.007) | Collidable: True
[198] Rock_198     | Model #1 | Pos: (-15.034, -10.181,  1.211) | Collidable: True
[199] Rock_199     | Model #9 | Pos: ( -9.854,   0.015,  0.809) | Collidable: False
[200] Rock_200     | Model #9 | Pos: (  9.914,   3.875,  1.226) | Collidable: False
[201] Rock_201     | Model #9 | Pos: ( -8.104,  -6.061,  1.135) | Collidable: True
[202] Rock_202     | Model #1 | Pos: (  4.527,   6.306,  1.256) | Collidable: False
[203] Rock_203     | Model #8 | Pos: ( -0.644,  -7.700,  1.065) | Collidable: False
[204] Rock_204     | Model #8 | Pos: ( -1.881,  -9.219,  1.564) | Collidable: True
[205] Rock_205     | Model #6 | Pos: (-17.106,  -7.116,  1.127) | Collidable: True
[206] Rock_206     | Model #2 | Pos: (  2.822, -10.021,  1.689) | Collidable: True
[207] Rock_207     | Model #6 | Pos: ( -8.591,   2.063,  0.663) | Collidable: True
[208] Rock_208     | Model #9 | Pos: (-11.191,   4.887,  0.964) | Collidable: False
[209] Rock_209     | Model #2 | Pos: (  2.328,   5.282,  1.229) | Collidable: False
[210] Rock_210     | Model #9 | Pos: (-12.846,   0.769,  0.783) | Collidable: False
[211] Rock_211     | Model #1 | Pos: ( -9.623, -10.993,  1.137) | Collidable: False
[212] Rock_212     | Model #3 | Pos: ( 10.687,   8.089,  1.299) | Collidable: True
[213] Rock_213     | Model #4 | Pos: ( -2.813,  -1.946,  1.406) | Collidable: True
[214] Rock_214     | Model #1 | Pos: (-14.514,   8.947,  1.076) | Collidable: True
[215] Rock_215     | Model #9 | Pos: (-11.447,  -4.844,  1.149) | Collidable: False
[216] Rock_216     | Model #6 | Pos: ( -1.607,   1.173,  0.746) | Collidable: False
[217] Rock_217     | Model #8 | Pos: (-14.994,   2.313,  0.894) | Collidable: True
[218] Rock_218     | Model #7 | Pos: ( -4.792,   4.120,  1.284) | Collidable: True
[219] Rock_219     | Model #8 | Pos: (  2.356,  -5.756,  0.581) | Collidable: False
[220] Rock_220     | Model #4 | Pos: (  3.427,   1.367,  1.544) | Collidable: True
[221] Rock_221     | Model #2 | Pos: ( -2.898,  -8.902,  1.371) | Collidable: True
[222] Rock_222     | Model #2 | Pos: ( -0.848,   4.409,  1.436) | Collidable: False
[223] Rock_223     | Model #7 | Pos: ( -1.784,   2.326,  0.801) | Collidable: True
[224] Rock_224     | Model #2 | Pos: ( -3.693,   0.315,  1.127) | Collidable: True
[225] Rock_225     | Model #6 | Pos: (-13.456,   9.326,  1.020) | Collidable: False
[226] Rock_226     | Model #4 | Pos: ( -7.483,  -7.326,  1.012) | Collidable: False
[227] Rock_227     | Model #4 | Pos: (-14.307,  -8.403,  0.933) | Collidable: True
[228] Rock_228     | Model #4 | Pos: ( -9.167,   3.902,  0.802) | Collidable: False
[229] Rock_229     | Model #9 | Pos: ( -4.589,  -9.171,  0.968) | Collidable: False
[230] Rock_230     | Model #3 | Pos: ( -7.469,  -0.894,  1.302) | Collidable: False
[231] Rock_231     | Model #3 | Pos: ( -4.226,  -7.086,  1.117) | Collidable: False
[232] Rock_232     | Model #9 | Pos: ( -4.239,   2.659,  0.995) | Collidable: False
[233] Rock_233     | Model #7 | Pos: (  0.204,   5.277,  1.423) | Collidable: False
[234] Rock_234     | Model #4 | Pos: (  0.687,   3.158,  1.423) | Collidable: False
[235] Rock_235     | Model #8 | Pos: (-12.983, -10.405,  1.070) | Collidable: True
[236] Rock_236     | Model #6 | Pos: (  0.106,  -0.935,  0.933) | Collidable: True
[237] Rock_237     | Model #7 | Pos: ( -9.849,  -6.261,  1.073) | Collidable: False
[238] Rock_238     | Model #7 | Pos: (  0.866,  -8.379,  1.157) | Collidable: False
[239] Rock_239     | Model #3 | Pos: (  1.059,  -1.923,  1.473) | Collidable: True
[240] Rock_240     | Model #6 | Pos: ( -9.211,  -2.094,  1.279) | Collidable: False
[241] Rock_241     | Model #8 | Pos: ( 12.478,   2.426,  1.331) | Collidable: True
[242] Rock_242     | Model #2 | Pos: ( -6.521,   1.228,  1.319) | Collidable: True
[243] Rock_243     | Model #3 | Pos: (-12.134, -10.990,  0.909) | Collidable: True
[244] Rock_244     | Model #8 | Pos: (  6.359,  -7.516,  1.409) | Collidable: True
[245] Rock_245     | Model #6 | Pos: ( -0.196,  -5.650,  0.950) | Collidable: True
[246] Rock_246     | Model #1 | Pos: ( -9.261,  -4.644,  1.140) | Collidable: False
[247] Rock_247     | Model #4 | Pos: (-18.330,   8.399,  1.148) | Collidable: True
[248] Rock_248     | Model #8 | Pos: (  5.639,  -6.406,  1.224) | Collidable: True
[249] Rock_249     | Model #7 | Pos: (  4.654,  -0.393,  1.544) | Collidable: True
[250] Rock_250     | Model #5 | Pos: (-15.646,   0.748,  1.144) | Collidable: True
[251] Rock_251     | Model #4 | Pos: (  6.792,   5.735,  2.093) | Collidable: True
[252] Rock_252     | Model #3 | Pos: ( -8.012,  -9.481,  1.022) | Collidable: False
[253] Rock_253     | Model #6 | Pos: (  6.951,  -0.396,  1.470) | Collidable: True
[254] Rock_254     | Model #8 | Pos: (-12.076,  -6.375,  0.883) | Collidable: False
[255] Rock_255     | Model #2 | Pos: ( -7.172, -10.575,  1.162) | Collidable: True
[256] Rock_256     | Model #1 | Pos: (  3.381,  -9.052,  1.366) | Collidable: True
[257] Rock_257     | Model #5 | Pos: ( 11.023,   6.038,  1.588) | Collidable: True
[258] Rock_258     | Model #7 | Pos: (  4.708,   0.805,  1.330) | Collidable: True
[259] Rock_259     | Model #1 | Pos: ( -5.584,   7.548,  1.243) | Collidable: False
[260] Rock_260     | Model #1 | Pos: ( -5.187, -10.875,  1.322) | Collidable: True
[261] Rock_261     | Model #5 | Pos: ( 10.093,   6.801,  1.545) | Collidable: False
[262] Rock_262     | Model #1 | Pos: ( -3.272,  -5.731,  1.242) | Collidable: False
[263] Rock_263     | Model #6 | Pos: (  8.930,   5.527,  1.049) | Collidable: True
[264] Rock_264     | Model #3 | Pos: ( -3.762,  10.817,  0.926) | Collidable: False
[265] Rock_265     | Model #1 | Pos: ( -0.942,  -9.923,  1.652) | Collidable: False
[266] Rock_266     | Model #3 | Pos: ( 12.644,   4.731,  1.244) | Collidable: False
[267] Rock_267     | Model #8 | Pos: ( -9.975,   9.313,  1.164) | Collidable: True
[268] Rock_268     | Model #8 | Pos: (  3.552, -10.854,  1.741) | Collidable: True
[269] Rock_269     | Model #2 | Pos: (  5.275,  -9.738,  1.659) | Collidable: False
[270] Rock_270     | Model #6 | Pos: ( -5.983,  -3.524,  1.318) | Collidable: True
[271] Rock_271     | Model #6 | Pos: (  1.728,   1.670,  1.469) | Collidable: True
[272] Rock_272     | Model #4 | Pos: ( -2.083,   0.248,  0.852) | Collidable: False
[273] Rock_273     | Model #1 | Pos: ( -6.504,  -0.368,  1.334) | Collidable: False
[274] Rock_274     | Model #8 | Pos: ( 12.004,  10.198,  1.119) | Collidable: False
[275] Rock_275     | Model #5 | Pos: ( -4.463,   0.979,  1.172) | Collidable: True
[276] Rock_276     | Model #3 | Pos: (-15.359,  -6.311,  1.114) | Collidable: False
[277] Rock_277     | Model #6 | Pos: ( -4.687,   8.184,  1.223) | Collidable: True
[278] Rock_278     | Model #1 | Pos: ( -4.529,  -3.666,  1.389) | Collidable: False
[279] Rock_279     | Model #9 | Pos: (  5.797,   3.071,  1.733) | Collidable: True
[280] Rock_280     | Model #1 | Pos: (-17.264,   8.851,  1.101) | Collidable: False
[281] Rock_281     | Model #9 | Pos: (-14.922,   5.539,  1.193) | Collidable: True
[282] Rock_282     | Model #2 | Pos: (-13.191,  -0.224,  1.039) | Collidable: False
[283] Rock_283     | Model #5 | Pos: (-12.560,   8.710,  1.136) | Collidable: False
[284] Rock_284     | Model #7 | Pos: (  2.151,  -0.193,  1.535) | Collidable: False
[285] Rock_285     | Model #5 | Pos: (-11.283,   0.470,  0.821) | Collidable: False
[286] Rock_286     | Model #3 | Pos: ( -0.905,   7.714,  1.337) | Collidable: False
[287] Rock_287     | Model #5 | Pos: ( -6.416,  -6.943,  1.089) | Collidable: False
[288] Rock_288     | Model #3 | Pos: (  1.440,  -7.407,  1.106) | Collidable: False
[289] Rock_289     | Model #5 | Pos: ( -8.435,  -0.108,  1.019) | Collidable: True
[290] Rock_290     | Model #5 | Pos: ( -1.186,  10.988,  1.348) | Collidable: False
[291] Rock_291     | Model #6 | Pos: (  2.256,   3.792,  1.490) | Collidable: True
[292] Rock_292     | Model #9 | Pos: (-13.164,   1.787,  0.782) | Collidable: True
[294] Rock_294     | Model #4 | Pos: (  6.919,   4.462,  2.050) | Collidable: False
[295] Rock_295     | Model #9 | Pos: ( -1.310,  -0.423,  0.854) | Collidable: False
[296] Rock_296     | Model #9 | Pos: (  5.899,   1.357,  0.927) | Collidable: True
[297] Rock_297     | Model #5 | Pos: (-12.684,  -7.415,  0.818) | Collidable: True
[298] Rock_298     | Model #1 | Pos: (  3.470,  -6.319,  0.336) | Collidable: False
[299] Rock_299     | Model #1 | Pos: ( -9.027,  -9.165,  0.838) | Collidable: False
