Obstacle Data Summary
World Name      : marsyard.world
Heightmap       : /home/saif/Desktop/ROAR/simulation_ws/src/navMission_setup/world_setup/initial_inputs/i_heightmap/marsyard_heightmap.npz
Total Placed    : 70
Density         : 0.1 rocks/m²
Collidable Ratio: 0.8
Spacing Min     : 1.0 m
Min Terrain Z   : 0.15 m
Deadends        : False
Timestamped File: obstacle_data_20260807_142311.npy

[  1] Rock_1       | Model #6 | Pos: (-12.055,   5.912,  1.215) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: False
[ 54] Rock_54      | Model #7 | Pos: (  8.398,   3.017,  0.895) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: True
[ 55] Rock_55      | Model #2 | Pos: ( -0.968,   2.398,  0.856) | Size: L=2.532 m | W=0.883 m | H=1.234 m | Collidable: False
[ 56] Rock_56      | Model #5 | Pos: (  2.506,   3.855,  1.495) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 57] Rock_57      | Model #1 | Pos: (-18.689,   7.928,  1.128) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[ 58] Rock_58      | Model #1 | Pos: ( 12.223,   5.203,  1.293) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[ 59] Rock_59      | Model #5 | Pos: (  2.081,  -4.378,  1.346) | Size: L=0.076 m | W=0.038 m | H=0.063 m | Collidable: True
[ 60] Rock_60      | Model #8 | Pos: ( 10.103,  10.262,  1.434) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
[ 61] Rock_61      | Model #3 | Pos: ( -2.134,   4.235,  1.260) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: True
[ 62] Rock_62      | Model #7 | Pos: (  0.833,  -4.643,  1.212) | Size: L=0.104 m | W=0.057 m | H=0.098 m | Collidable: True
[ 63] Rock_63      | Model #6 | Pos: (  3.126,   6.175,  0.815) | Size: L=0.151 m | W=0.084 m | H=0.081 m | Collidable: True
[ 64] Rock_64      | Model #4 | Pos: ( -6.831,   0.222,  1.293) | Size: L=2.263 m | W=0.801 m | H=1.190 m | Collidable: True
[ 65] Rock_65      | Model #8 | Pos: (  5.587,  -5.323,  1.566) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
[ 66] Rock_66      | Model #4 | Pos: (  2.811,  -6.420,  0.256) | Size: L=2.263 m | W=0.801 m | H=1.190 m | Collidable: True
[ 67] Rock_67      | Model #1 | Pos: (-13.840,   4.486,  0.850) | Size: L=1.775 m | W=1.086 m | H=2.260 m | Collidable: True
[ 68] Rock_68      | Model #3 | Pos: (  3.082,  -9.329,  1.559) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: True
[ 69] Rock_69      | Model #3 | Pos: ( -2.794,  -4.936,  1.326) | Size: L=0.651 m | W=0.490 m | H=0.645 m | Collidable: True
[ 70] Rock_70      | Model #8 | Pos: ( -6.937,  -5.977,  1.158) | Size: L=0.115 m | W=0.037 m | H=0.082 m | Collidable: True
